=== フィルタリング結果 ===
フィルター基準: エンゲージ最小スコア 2.9
======================

AKKODiSコンサルティング株式会社, OpenWork点数 3.05, エンゲージ点数 3.2
株式会社wevnal, OpenWork点数 3.6, エンゲージ点数 3.6
株式会社アイエンター, OpenWork点数 3.76, エンゲージ点数 3.3
株式会社アイル, OpenWork点数 4.25, エンゲージ点数 3.5
株式会社アクティス, OpenWork点数 3.24, エンゲージ点数 3.0
株式会社アクロビジョン, OpenWork点数 2.9, エンゲージ点数 3.2
株式会社アトミテック, OpenWork点数 3.37, エンゲージ点数 3.6
株式会社アピリッツ, OpenWork点数 3.05, エンゲージ点数 3.3
株式会社アルディート, OpenWork点数 3.14, エンゲージ点数 3.5
株式会社アンドパッド, OpenWork点数 3.03, エンゲージ点数 3.6
株式会社アール･エス･アール, OpenWork点数 2.98, エンゲージ点数 3.4
株式会社イメージ・マジック, OpenWork点数 3.16, エンゲージ点数 3.5
株式会社インフキュリオン, OpenWork点数 4.07, エンゲージ点数 3.5
株式会社ウエルストーン, OpenWork点数 3.68, エンゲージ点数 3.4
株式会社ウフル, OpenWork点数 3.02, エンゲージ点数 3.1
株式会社エス・エム・エス, OpenWork点数 3.02, エンゲージ点数 3.7
株式会社エニグモ, OpenWork点数 3.72, エンゲージ点数 3.4
株式会社エーピーコミュニケーションズ, OpenWork点数 4.08, エンゲージ点数 3.5
株式会社オープンアップシステム, OpenWork点数 3.31, エンゲージ点数 3.1
株式会社ガラパゴス, OpenWork点数 3.31, エンゲージ点数 3.6
株式会社キャピタル・アセット・プランニング, OpenWork点数 2.91, エンゲージ点数 3.0
株式会社ギフトパッド, OpenWork点数 3.02, エンゲージ点数 3.3
株式会社ギブリー, OpenWork点数 3.79, エンゲージ点数 3.6
株式会社クラウドワークス, OpenWork点数 3.36, エンゲージ点数 3.5
株式会社クラブネッツ, OpenWork点数 3.71, エンゲージ点数 3.7
株式会社クリエーション・ビュー, OpenWork点数 3.22, エンゲージ点数 3.3
株式会社グラッドキューブ, OpenWork点数 2.98, エンゲージ点数 3.6
株式会社グローバルウェイ, OpenWork点数 3.41, エンゲージ点数 3.4
株式会社ゲオネットワークス, OpenWork点数 3.04, エンゲージ点数 3.1
株式会社コアコンセプト・テクノロジー, OpenWork点数 3.82, エンゲージ点数 3.6
株式会社コンピュータ技研, OpenWork点数 3.41, エンゲージ点数 3.5
株式会社サンウェル, OpenWork点数 3.13, エンゲージ点数 3.3
株式会社サーバーワークス, OpenWork点数 4.57, エンゲージ点数 3.8
株式会社シャノン, OpenWork点数 3.31, エンゲージ点数 3.2
株式会社ジェイテック, OpenWork点数 3.01, エンゲージ点数 3.1
株式会社ジャパネットホールディングス, OpenWork点数 3.54, エンゲージ点数 3.6
株式会社ジール, OpenWork点数 3.3, エンゲージ点数 3.2
株式会社スタジアム, OpenWork点数 3.0, エンゲージ点数 3.3
株式会社スマレジ, OpenWork点数 3.32, エンゲージ点数 3.4
株式会社ゼンショーホールディングス, OpenWork点数 2.98, エンゲージ点数 3.1
株式会社テコテック, OpenWork点数 2.93, エンゲージ点数 3.3
株式会社テックエデュケイションカンパニー, OpenWork点数 2.93, エンゲージ点数 3.4
株式会社テラスカイ, OpenWork点数 3.08, エンゲージ点数 3.5
株式会社ディ・アイ・システム, OpenWork点数 3.01, エンゲージ点数 3.2
株式会社デジタルハーツホールディングス, OpenWork点数 3.06, エンゲージ点数 3.4
株式会社ドワンゴ, OpenWork点数 3.48, エンゲージ点数 3.4
株式会社パソナ, OpenWork点数 3.59, エンゲージ点数 3.5
株式会社ヒューマンウェイブ, OpenWork点数 2.96, エンゲージ点数 3.2
株式会社ヒューマンテクノロジーズ, OpenWork点数 3.62, エンゲージ点数 4.1
株式会社ビジネス・インフォメーション・テクノロジー, OpenWork点数 3.0, エンゲージ点数 2.9
株式会社ピーアンドアイ, OpenWork点数 3.02, エンゲージ点数 3.3
株式会社フェニシス, OpenWork点数 3.22, エンゲージ点数 3.1
株式会社フェーズワン, OpenWork点数 3.04, エンゲージ点数 3.6
株式会社フルスピード, OpenWork点数 3.22, エンゲージ点数 3.2
株式会社プロトソリューション, OpenWork点数 3.13, エンゲージ点数 3.3
株式会社ヘッドウォータース, OpenWork点数 4.13, エンゲージ点数 3.8
株式会社ホープス, OpenWork点数 2.91, エンゲージ点数 3.7
株式会社メドレー, OpenWork点数 3.4, エンゲージ点数 3.5
株式会社モンスターラボホールディングス, OpenWork点数 3.23, エンゲージ点数 3.6
株式会社リサーチアンドソリューション, OpenWork点数 3.56, エンゲージ点数 3.3
株式会社リブセンス, OpenWork点数 3.87, エンゲージ点数 3.7
株式会社リンクス, OpenWork点数 2.98, エンゲージ点数 3.1
株式会社不動産SHOPナカジツ, OpenWork点数 4.09, エンゲージ点数 3.6
株式会社建設システム, OpenWork点数 3.43, エンゲージ点数 3.6
株式会社日本教育クリエイト, OpenWork点数 3.62, エンゲージ点数 3.4
株式会社福岡銀行, OpenWork点数 3.25, エンゲージ点数 3.4
株式会社ＧＳＩ, OpenWork点数 3.09, エンゲージ点数 3.3
辰巳電子工業株式会社, OpenWork点数 2.92, エンゲージ点数 3.6
Ｓｋｙ株式会社, OpenWork点数 4.13, エンゲージ点数 3.8
